2025-11-06 17:31:34 WARNING [3488] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:34 WARNING [3488] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:35 WARNING [3488] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:35 WARNING [3488] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:36 WARNING [3488] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:36 WARNING [3488] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:37 WARNING [3488] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:37 WARNING [3488] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:38 WARNING [3488] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:38 WARNING [3488] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:39 WARNING [3488] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:39 WARNING [3488] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:40 WARNING [3488] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:40 WARNING [3488] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:41 WARNING [3488] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:50 WARNING [4638] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:51 WARNING [4638] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:51 WARNING [4638] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:52 WARNING [4638] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:52 WARNING [4638] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:53 WARNING [4638] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:53 WARNING [4638] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:54 WARNING [4638] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:54 WARNING [4638] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:55 WARNING [4638] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
2025-11-06 17:31:55 WARNING [4638] app.tabs.service:72 - ServiceTab: bridge.scene noch nicht verfügbar – retry in 500 ms
